jd_id,jd_title,jd_seniority,jd_required_skills,jd_preferred_skills,jd_experience_requirement,jd_education_requirement,jd_responsibilities,candidate_blind_id,candidate_skills,candidate_education,candidate_experience,candidate_employment_history,candidate_projects,employment_relevance,employment_evidence_note,project_relevance,project_evidence_note
jdp-007,Security Engineer,3,python; linux; docker; aws,(none),24 months minimum,level 3 (required),Review Linux and Docker configurations for security issues. | Write Python automation for security tooling. | Support vulnerability tracking.,pb-8419e914,python; linux; docker; aws,BSc (Electronic Engineering),"7 months total, seniority level 1","[Security Intern, 8 months] Wrote a Python script that automated a manual log-review task, adopted by the team. / Debugged a false-positive spike in the vulnerability scanner caused by a misconfigured exclusion list. / Reviewed Docker base images for known CVEs and reported findings.",(no projects listed),2,"Wrote a Python script automating a manual log-review task that the team adopted, debugged a scanner false-positive spike caused by a misconfigured exclusion list, and reviewed Docker base images for known CVEs. Hits Python automation, Docker review and vulnerability tracking; limited by 8 months and no AWS evidence.",0,"No projects listed, so there is no project evidence to assess."
jdp-002,Data Engineer,3,python; sql; airflow; spark,(none),24 months minimum,level 3 (required),Build data pipelines using Airflow and Spark. | Write SQL transformations for reporting. | Monitor pipeline reliability and data quality.,pb-c0ae0244,python; sql; airflow; spark,BSc (Mathematics),"0 months total, no professional seniority established",(no employment history),"Title: Sales Pipeline Rebuild | Technologies: python, sql, airflow, spark | Role: solo | Description: Built an Airflow pipeline that ingests daily sales CSVs, transforms them with PySpark, and loads them into a warehouse table. Wrote the SQL transformation logic myself and debugged a partition-skew issue that was causing one task to run 10x longer than the others. Added data-quality checks that fail the DAG if row counts drop unexpectedly. | Outcome: Cut pipeline runtime from 40 minutes to 9 minutes after fixing the skew.",0,"No employment history recorded, so there is no professional evidence to assess against the role.",3,"Covers every required skill: an Airflow DAG ingesting daily CSVs, PySpark transformation, self-written SQL logic, plus data-quality checks that fail the DAG on unexpected row-count drops - matching all three JD responsibilities. Ownership shown by diagnosing partition skew and a measured 40-to-9-minute runtime improvement."
jdp-001,"Backend Engineer, Payments",3,python; fastapi; postgresql; docker,(none),24 months minimum,level 3 (required),Build and maintain payment processing APIs. | Work with PostgreSQL to model transaction data. | Support deployment of backend services via Docker.,pb-79e07865,python; fastapi; postgresql; docker,BSc (Electronic Engineering),"0 months total, no professional seniority established",(no employment history),"Title: Payment Reconciliation Engine | Technologies: python, fastapi, postgresql, docker | Role: solo | Description: Designed and built a solo project reconciling mock bank statements against an internal ledger. Implemented the matching algorithm in Python with a FastAPI endpoint and a PostgreSQL schema for the ledger. Debugged a rounding-error bug that caused false mismatches on about 2% of transactions, and fixed it by moving all amounts to integer cents. Deployed the service in a Docker container and load-tested it to 200 requests/second. | Outcome: Handled 10,000 synthetic transactions with zero false mismatches after the fix.",0,"No employment history recorded, so there is no professional evidence to assess against the role.",3,"Closest possible match: reconciles mock bank statements against a ledger using all four required skills - Python matching algorithm, FastAPI endpoint, PostgreSQL ledger schema, Docker deployment. Ownership is well evidenced (self-designed matching, rounding-error bug diagnosed and fixed by moving to integer cents) with load testing to 200 rps and a measured zero-false-mismatch result over 10,000 transactions."
jdp-006,Android Engineer,3,kotlin; android; gradle; git,(none),24 months minimum,level 3 (required),Build Android features in Kotlin. | Maintain the Gradle build. | Fix defects and improve app stability.,pb-b9eb6d4f,kotlin; android; gradle; git,BSc (Software Engineering),"7 months total, seniority level 1","[Intern, 8 months] Attended the mobile team's release planning meetings. / Updated the app's release-notes document. / Manually tested new builds against a checklist.",(no projects listed),1,"Release-process exposure and manual testing only - planning meetings, release-notes upkeep, checklist testing of builds. No Kotlin or Gradle work evidenced.",0,"No projects listed, so there is no project evidence to assess."
jdp-008,Computer Vision Engineer,3,python; opencv; pytorch; linux,(none),24 months minimum,level 3 (required),Build vision pipelines using OpenCV and PyTorch. | Deploy models to Linux devices. | Evaluate detection accuracy.,pb-3668a2aa,python; opencv; pytorch; linux,BSc (Computer Science),"0 months total, no professional seniority established",(no employment history),"Title: Point Cloud Object Detector | Technologies: cpp | Role: solo | Description: Designed and built a lidar point-cloud object-detection prototype in C++ using a public library, including the clustering logic. Debugged a false-positive issue caused by ground-plane points being misclassified as objects. | Outcome: Correctly detected 88% of labelled objects in a public benchmark point-cloud dataset.",0,"No employment history recorded, so there is no professional evidence to assess against the role.",1,"Substantive perception work with clear ownership - clustering logic designed by the candidate, a ground-plane false-positive issue debugged, 88% detection on a public benchmark - but written in C++ on lidar data. No Python, OpenCV, PyTorch or Linux evidence, so the required stack is untested."
jdp-005,Frontend Engineer,3,typescript; react; css; next.js,(none),24 months minimum,level 3 (required),Build UI components in React and TypeScript. | Write CSS to a shared design standard. | Support the Next.js application build.,pb-4fe50a19,typescript; react; css; next.js,BSc (Mathematics),"40 months total, seniority level 4","[Frontend Engineer, 40 months] Owned the design-system component library used by every product team. / Cut page load time by 45% by introducing route-level code splitting in Next.js. / Debugged a memory leak in a long-lived dashboard page caused by unremoved event listeners. / Led the migration of the CSS architecture to a token-based system.",(no projects listed),3,"40 months in the exact role: owned the design-system component library used by every product team, cut page load 45% via route-level code splitting in Next.js, debugged a memory leak from unremoved event listeners, and led the CSS migration to a token-based system. Direct match on React/CSS/Next.js duties.",0,"No projects listed, so there is no project evidence to assess."
jdp-006,Android Engineer,3,kotlin; android; gradle; git,(none),24 months minimum,level 3 (required),Build Android features in Kotlin. | Maintain the Gradle build. | Fix defects and improve app stability.,pb-adf36141,kotlin; android; gradle; git,BSc (Physics),"0 months total, no professional seniority established",(no employment history),"Title: Expense Splitter | Technologies: kotlin, android | Role: solo | Description: Built a small Android app in Kotlin that splits shared expenses between friends, with a local Room database. | Outcome: (no stated outcome) || Title: Custom Gradle Plugin | Technologies: gradle, kotlin | Role: solo | Description: Wrote a small Gradle plugin that automates version-bumping for an Android project's build. | Outcome: (no stated outcome)",0,"No employment history recorded, so there is no professional evidence to assess against the role.",2,"Two self-built Kotlin/Android projects - a Room-backed expense splitter and a small Gradle plugin automating version bumps - covering three of four required skills, with the plugin showing genuine build-system curiosity. Neither entry gives a debugging narrative or a stated outcome."
jdp-003,ML Engineer,3,python; pytorch; fastapi; docker,(none),24 months minimum,level 3 (required),Train and evaluate PyTorch models. | Serve models behind FastAPI endpoints. | Package services with Docker for deployment.,pb-e35150f9,python; pytorch; fastapi; docker,BSc (Software Engineering),"0 months total, no professional seniority established",(no employment history),"Title: FastAPI Model Server | Technologies: fastapi, docker | Role: (role not stated) | Description: Class assignment. | Outcome: (no stated outcome)",0,"No employment history recorded, so there is no professional evidence to assess against the role.",1,"Serving-and-packaging stack is relevant (FastAPI, Docker) but the entry is a one-line class assignment with no role, no detail and no outcome."
jdp-002,Data Engineer,3,python; sql; airflow; spark,(none),24 months minimum,level 3 (required),Build data pipelines using Airflow and Spark. | Write SQL transformations for reporting. | Monitor pipeline reliability and data quality.,pb-772fb135,python; sql; airflow; spark,BSc (Computer Science),"11 months total, seniority level 2","[Reporting Assistant, 11 months] Exported spreadsheets for the finance team each week. / Forwarded pipeline failure alerts to the on-call engineer. / Updated the reporting calendar.","Title: Data Quality Dashboard | Technologies: python, sql, airflow | Role: solo | Description: Built a dashboard that runs SQL checks against the warehouse and visualises failures, with an Airflow DAG scheduling the checks hourly. Designed the check logic myself and debugged a false-alarm issue caused by daylight-saving time changes. | Outcome: Reduced undetected data-quality incidents from about 4/month to 0 in a 2-month trial.",1,"Adjacent to the data team (weekly spreadsheet exports, forwarding pipeline failure alerts, maintaining a reporting calendar) but the duties are coordination, not engineering. Alerts are forwarded rather than diagnosed; no SQL authoring, Airflow or Spark.",3,"Directly matches the pipeline-reliability and data-quality responsibility: self-designed SQL checks against the warehouse, scheduled hourly by an Airflow DAG, with a diagnosed daylight-saving false-alarm bug and a measured result (roughly 4 undetected incidents a month down to 0 over a 2-month trial). Spark is the one required skill not evidenced."
jdp-008,Computer Vision Engineer,3,python; opencv; pytorch; linux,(none),24 months minimum,level 3 (required),Build vision pipelines using OpenCV and PyTorch. | Deploy models to Linux devices. | Evaluate detection accuracy.,pb-35d49229,python; opencv; pytorch; linux,BSc (Computer Science),"0 months total, no professional seniority established",(no employment history),"Title: Face Blur Tool | Technologies: python, opencv | Role: solo | Description: Built a small OpenCV script that detects and blurs faces in images for a privacy-preserving photo tool. | Outcome: (no stated outcome) || Title: Handwritten Digit Classifier | Technologies: pytorch, python | Role: solo | Description: Trained a small PyTorch CNN on a public handwritten-digit dataset and evaluated its accuracy. | Outcome: (no stated outcome)",0,"No employment history recorded, so there is no professional evidence to assess against the role.",2,"Two self-built projects covering OpenCV face detection and blurring plus a PyTorch CNN trained and evaluated on a public dataset - three of four required skills. Both are small, neither states an outcome or any debugging work, and there is no Linux deployment."
jdp-008,Computer Vision Engineer,3,python; opencv; pytorch; linux,(none),24 months minimum,level 3 (required),Build vision pipelines using OpenCV and PyTorch. | Deploy models to Linux devices. | Evaluate detection accuracy.,pb-6cacf0a0,python; opencv; pytorch; linux,BSc (Computer Science),"7 months total, seniority level 1","[Computer Vision Intern, 8 months] Implemented a data-augmentation step for the training pipeline using OpenCV, adopted by the team. / Debugged a bounding-box misalignment bug in the annotation-to-training data conversion. / Ran evaluation scripts and identified a systematic failure mode in low-light images.",(no projects listed),2,"Implemented an OpenCV data-augmentation step adopted by the team, debugged a bounding-box misalignment in the annotation-to-training conversion, and identified a systematic low-light failure mode while running evaluations. Directly on OpenCV work and detection-accuracy evaluation, but 8 months and no PyTorch or Linux deployment evidence.",0,"No projects listed, so there is no project evidence to assess."
jdp-007,Security Engineer,3,python; linux; docker; aws,(none),24 months minimum,level 3 (required),Review Linux and Docker configurations for security issues. | Write Python automation for security tooling. | Support vulnerability tracking.,pb-e25fe0a8,python; linux; docker; aws,BSc (Information Systems),"40 months total, seniority level 4","[Security Engineer, 40 months] Owned the vulnerability-management programme. / Cut mean time to patch a critical finding from 30 days to 6 by automating the remediation ticketing. / Led the response to a genuine credential-stuffing incident, tracing it to a leaked third-party password list. / Hardened the Linux and AWS estate against the attack paths a red-team exercise had found.",(no projects listed),3,"40 months in the exact role: owned the vulnerability-management programme, cut mean time to patch a critical finding from 30 days to 6 by automating remediation ticketing, led response to a real credential-stuffing incident, and hardened the Linux and AWS estate against red-team findings. Direct match on Linux/AWS review, automation and vulnerability tracking.",0,"No projects listed, so there is no project evidence to assess."
jdp-002,Data Engineer,3,python; sql; airflow; spark,(none),24 months minimum,level 3 (required),Build data pipelines using Airflow and Spark. | Write SQL transformations for reporting. | Monitor pipeline reliability and data quality.,pb-bfdb602d,python; sql; airflow; spark,BSc (Mathematics),"0 months total, no professional seniority established",(no employment history),"Title: Weather Data Pipeline | Technologies: python, airflow, sql | Role: solo | Description: Built a small Airflow DAG that pulls a public weather API daily and loads results into a Postgres table using SQL inserts. | Outcome: (no stated outcome) || Title: Spark Log Aggregator | Technologies: spark, python | Role: solo | Description: Wrote a PySpark job that aggregates a sample web-log dataset into hourly summaries and writes them out as Parquet. | Outcome: (no stated outcome)",0,"No employment history recorded, so there is no professional evidence to assess against the role.",2,"Two self-built projects that between them touch Python, Airflow, SQL and Spark - a daily public-API ingestion DAG loading to Postgres, and a PySpark job aggregating web logs to hourly Parquet summaries. Real independent work but small in scope, with no debugging narrative and no stated outcomes."
