candidate_blind_id,jd_id,employment_relevance,employment_evidence_note,employment_provenance,employment_status,employment_adjudication_note,project_relevance,project_evidence_note,project_provenance,project_status,project_adjudication_note,adjudicator,adjudicated_on
pb-45240a05,jdp-002,3,"42 months in the exact role: owned the warehouse's core SQL modelling conventions, rebuilt the nightly Spark aggregation job for a 70% runtime cut, and debugged a silent data-loss bug in Airflow retry logic that had been under-reporting revenue. Covers SQL, Spark and Airflow with ownership plus mentoring, and exceeds the 24-month bar.",A+B agree,agreed,,0,"No projects listed, so there is no project evidence to assess.",A+B agree,agreed,,,
pb-772fb135,jdp-002,1,"Adjacent to the data team (weekly spreadsheet exports, forwarding pipeline failure alerts, maintaining a reporting calendar) but the duties are coordination, not engineering. Alerts are forwarded rather than diagnosed; no SQL authoring, Airflow or Spark.",A+B agree,agreed,,3,"Directly matches the pipeline-reliability and data-quality responsibility: self-designed SQL checks against the warehouse, scheduled hourly by an Airflow DAG, with a diagnosed daylight-saving false-alarm bug and a measured result (roughly 4 undetected incidents a month down to 0 over a 2-month trial). Spark is the one required skill not evidenced.",A+B agree,agreed,,,
pb-79aa7cb9,jdp-002,1,"Adjacent to the data team (weekly spreadsheet exports, forwarding pipeline failure alerts, maintaining a reporting calendar) but the duties are coordination, not engineering. Alerts are forwarded rather than diagnosed; no SQL authoring, Airflow or Spark.",A+B agree,agreed,,3,"Covers every required skill: an Airflow DAG ingesting daily CSVs, PySpark transformation, self-written SQL logic, plus data-quality checks that fail the DAG on unexpected row-count drops - matching all three JD responsibilities. Ownership shown by diagnosing partition skew and a measured 40-to-9-minute runtime improvement.",A+B agree,agreed,,,
pb-a10b9b7b,jdp-002,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,1,"Official Airflow tutorial producing a two-task DAG; correct tool, but no independent contribution, debugging or outcome.",A+B agree,agreed,,,
pb-a2e40941,jdp-002,2,Direct professional experience performing the target role.,"A=2, B=3; prior adjudication sided with B (=3), SUPERSEDED by rubric precedence v1.1 -> 2 (agrees with pass A)",resolved_by_rubric_precedence_v1.1,"SUPERSEDED by rubric precedence ruling v1.1: §2's substantive tier governs §4's strength-signal shortcut; supervised/team-reviewed internship work with limited ownership scores 2. Prior reasoning retained below for provenance. PROJECT_RUBRIC.md §4 strength-signal rule: >=2 distinct strength-signal categories + direct alignment to a specific JD responsibility -> 3. Implementation (SQL transformations merged to production), concrete debugging (failing Airflow task from upstream schema change), evaluation (data-quality check caught a duplicate-row bug); covers all three JD responsibilities. Same §2/§4 tension noted.",0,"No projects listed, so there is no project evidence to assess.",A+B agree,agreed,,claude-opus-5 (corpus author; see contamination caveat in report),2026-08-26
pb-bfdb602d,jdp-002,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,2,"Two self-built projects that between them touch Python, Airflow, SQL and Spark - a daily public-API ingestion DAG loading to Postgres, and a PySpark job aggregating web logs to hourly Parquet summaries. Real independent work but small in scope, with no debugging narrative and no stated outcomes.",A+B agree,agreed,,,
pb-c03b258d,jdp-002,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,1,"Relevant tools (Spark, SQL) but a bare coursework entry with no role, no description of what was built and no outcome.",A+B agree,agreed,,,
pb-c0ae0244,jdp-002,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,3,"Covers every required skill: an Airflow DAG ingesting daily CSVs, PySpark transformation, self-written SQL logic, plus data-quality checks that fail the DAG on unexpected row-count drops - matching all three JD responsibilities. Ownership shown by diagnosing partition skew and a measured 40-to-9-minute runtime improvement.",A+B agree,agreed,,,
pb-dca0ee74,jdp-002,1,"Largely passive - standup attendance and data-dictionary spreadsheet upkeep - with ad-hoc SQL queries on request as the only technical task. No pipeline construction, Airflow or Spark work.",A+B agree,agreed,,0,"No projects listed, so there is no project evidence to assess.",A+B agree,agreed,,,
pb-fe7b4922,jdp-002,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,2,"Substantive modelling work - a dbt star-schema model suite with tests, a slowly-changing-dimension bug duplicating customer records diagnosed and fixed, validated against 6 months of history. Only SQL overlaps the required stack; Python, Airflow and Spark are untested, so this reads as adjacent analytics-engineering rather than pipeline engineering.",A+B agree,agreed,,,
pb-116b4f53,jdp-003,2,Direct professional experience performing the target role.,"A=2, B=3; prior adjudication sided with B (=3), SUPERSEDED by rubric precedence v1.1 -> 2 (agrees with pass A)",resolved_by_rubric_precedence_v1.1,"SUPERSEDED by rubric precedence ruling v1.1: §2's substantive tier governs §4's strength-signal shortcut; supervised/team-reviewed internship work with limited ownership scores 2. Prior reasoning retained below for provenance. PROJECT_RUBRIC.md §4 strength-signal rule: >=2 distinct strength-signal categories + direct alignment to a specific JD responsibility -> 3. Implementation (data-augmentation step; FastAPI serving endpoint), measurable outcome (+4 points validation accuracy), concrete debugging (class-imbalance under-prediction); matches 'train and evaluate PyTorch models' and 'serve behind FastAPI'. Same §2/§4 tension noted.",0,"No projects listed, so there is no project evidence to assess.",A+B agree,agreed,,claude-opus-5 (corpus author; see contamination caveat in report),2026-08-26
pb-442fdb32,jdp-003,1,"Supports an ML team through image labelling, alert forwarding and wiki upkeep, but performs none of the JD's engineering tasks. No PyTorch training, FastAPI serving or Docker packaging.",A+B agree,agreed,,3,"Trains a PyTorch model and exposes drift monitoring through a FastAPI dashboard, with a self-designed statistical test, a debugged false-positive spike traced to seasonal input shift, and quantified detection results. Strong evidence on training, evaluation and serving; Docker is the only required skill not shown.",A+B agree,agreed,,,
pb-59306621,jdp-003,1,"Supports an ML team through image labelling, alert forwarding and wiki upkeep, but performs none of the JD's engineering tasks. No PyTorch training, FastAPI serving or Docker packaging.",A+B agree,agreed,,3,"Full match on all four required skills and all three responsibilities: PyTorch classifier trained on a public dataset, served behind FastAPI, packaged with Docker. Self-designed inference batching, a diagnosed GPU-tensor memory leak, and a measured latency improvement from 800ms to 140ms.",A+B agree,agreed,,,
pb-61053329,jdp-003,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,2,"Two self-built projects covering PyTorch training with held-out evaluation and FastAPI serving with input validation and error handling - three of four required skills. Both descriptions are shallow, with no debugging narrative or stated outcome, and Docker is absent.",A+B agree,agreed,,,
pb-6b0449f8,jdp-003,3,"44 months in the exact role, owning the training and evaluation pipeline for the ranking model, quantising the production model for a 35% inference-cost cut, debugging a silent production drift issue, and deploying the serving stack via Docker with automated rollback. Direct match on all three JD responsibilities.",A+B agree,agreed,,0,"No projects listed, so there is no project evidence to assess.",A+B agree,agreed,,,
pb-79a0550f,jdp-003,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,3,"Full match on all four required skills and all three responsibilities: PyTorch classifier trained on a public dataset, served behind FastAPI, packaged with Docker. Self-designed inference batching, a diagnosed GPU-tensor memory leak, and a measured latency improvement from 800ms to 140ms.",A+B agree,agreed,,,
pb-7dc7c774,jdp-003,1,"Observational: attended model reviews as an observer, organised an experiment-tracking spreadsheet, and ran pre-written evaluation scripts. Domain proximity with no model building, serving or containerisation of their own.","A=1, B=0; adjudicated (sided with A)",adjudicated,"PROJECT_RUBRIC.md §2 tier 1: domain/technology present but involvement is administrative/peripheral/observational -- the tier-1 examples ('attended reviews', 'updated documentation') match these bullets almost verbatim. ML domain present (model reviews, experiment tracking, running pre-written evaluation scripts) but attendance is explicitly 'as an observer'.",0,"No projects listed, so there is no project evidence to assess.",A+B agree,agreed,,claude-opus-5 (corpus author; see contamination caveat in report),2026-08-26
pb-ab4f33f4,jdp-003,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,1,"Official PyTorch tutorial followed to train an image classifier; correct framework, but no independent design, debugging or outcome.",A+B agree,agreed,,,
pb-e35150f9,jdp-003,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,1,"Serving-and-packaging stack is relevant (FastAPI, Docker) but the entry is a one-line class assignment with no role, no detail and no outcome.",A+B agree,agreed,,,
pb-f908ceaa,jdp-003,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,2,"Well-evidenced ML work - collaborative filtering built end to end including similarity computation and evaluation, cold-start problem diagnosed and mitigated with a popularity fallback, offline precision@10 improved from 0.11 to 0.19 - but in scikit-learn. PyTorch, FastAPI and Docker are all untested.","A=2, B=1; adjudicated (sided with A)",adjudicated,"PROJECT_RUBRIC.md §4 'adjacent technology': demonstrates a JD responsibility on a non-required stack -> capped at 2. Demonstrates 'train and evaluate models' end to end (similarity computation, cold-start debugging, precision@10 0.11->0.19) but in scikit-learn rather than the required PyTorch, with no FastAPI serving and no Docker packaging; python is shared. Capped at 2.",claude-opus-5 (corpus author; see contamination caveat in report),2026-08-26
pb-05fa20d2,jdp-004,1,"Touches AWS only through resetting staff console passwords; the remaining duties (asset inventory spreadsheet, escalating tickets to the platform team) are IT support. No provisioning, Terraform, Kubernetes or Docker work.",A+B agree,agreed,,3,"Terraform-provisioned AWS resources scanning billing data, with detection logic the candidate designed, a diagnosed billing-cycle-boundary false alarm, and execution inside a Kubernetes CronJob - three of four required skills with real operational judgement and a measured result. Docker is only implied.",A+B agree,agreed,,,
pb-30c37ab4,jdp-004,3,"40 months in the exact role: owned the Terraform modules for the team's AWS estate, redesigned the Kubernetes namespace structure to eliminate contention incidents, traced a long-open intermittent pod networking fault to a misconfigured CNI plugin, and led the migration of legacy services into Docker. All four required skills evidenced with ownership.",A+B agree,agreed,,0,"No projects listed, so there is no project evidence to assess.",A+B agree,agreed,,,
pb-51899643,jdp-004,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,1,"Tutorial provisioning a single EC2 instance; right tools, but no independent design, debugging or outcome.",A+B agree,agreed,,,
pb-5c568d25,jdp-004,1,"Touches AWS only through resetting staff console passwords; the remaining duties (asset inventory spreadsheet, escalating tickets to the platform team) are IT support. No provisioning, Terraform, Kubernetes or Docker work.",A+B agree,agreed,,3,"Provisions a multi-service AWS environment with Terraform including a Kubernetes cluster and deploys a containerised sample app - all four required skills and all three responsibilities. A diagnosed IAM permissions issue blocking pod-level S3 access, fixed with a scoped policy, plus documented teardown and a stated cost outcome, give it credible ownership despite hobby scale.",A+B agree,agreed,,,
pb-7085347a,jdp-004,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,2,"Two small self-built projects covering AWS, Terraform and Docker - an S3/CloudFront static site and a Docker Compose dev stack. Both are single-step setups with no debugging narrative and no stated outcome, and Kubernetes is entirely absent.",A+B agree,agreed,,,
pb-7b1cc0df,jdp-004,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,3,"Provisions a multi-service AWS environment with Terraform including a Kubernetes cluster and deploys a containerised sample app - all four required skills and all three responsibilities. A diagnosed IAM permissions issue blocking pod-level S3 access, fixed with a scoped policy, plus documented teardown and a stated cost outcome, give it credible ownership despite hobby scale.",A+B agree,agreed,,,
pb-bba68dab,jdp-004,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,1,"Relevant tools (Kubernetes, Docker) but a single-line 'personal project' entry with no role, no scope and no outcome.",A+B agree,agreed,,,
pb-cbea5dc1,jdp-004,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,2,"Genuine orchestration work: Docker Swarm with service discovery and rolling updates, a service-restart loop traced to a misconfigured health check, six services running with zero-downtime updates in testing. Only Docker overlaps the required stack - no AWS, Terraform or Kubernetes evidence.",A+B agree,agreed,,,
pb-cd03a930,jdp-004,2,Direct professional experience performing the target role.,"A=2, B=3; prior adjudication sided with B (=3), SUPERSEDED by rubric precedence v1.1 -> 2 (agrees with pass A)",resolved_by_rubric_precedence_v1.1,"SUPERSEDED by rubric precedence ruling v1.1: §2's substantive tier governs §4's strength-signal shortcut; supervised/team-reviewed internship work with limited ownership scores 2. Prior reasoning retained below for provenance. PROJECT_RUBRIC.md §4 strength-signal rule: >=2 distinct strength-signal categories + direct alignment to a specific JD responsibility -> 3. Implementation (Terraform module adopted by the team), concrete debugging (Kubernetes pod crash loop from a missing resource limit), deployment (containerised an internal tool); covers all three JD responsibilities. Same §2/§4 tension noted.",0,"No projects listed, so there is no project evidence to assess.",A+B agree,agreed,,claude-opus-5 (corpus author; see contamination caveat in report),2026-08-26
pb-f8a02c37,jdp-004,1,"Adjacent to the infrastructure team but entirely non-technical: change-review meeting attendance, runbook wiki formatting, and filing tickets on behalf of other teams. No provisioning or operational work.",A+B agree,agreed,,0,"No projects listed, so there is no project evidence to assess.",A+B agree,agreed,,,
pb-1ee3bace,jdp-005,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,2,"Two self-built projects covering React, TypeScript and a CSS design-token component library - three of four required skills, and the library maps well onto the JD's shared-design-standard duty. Both descriptions are brief, with no debugging detail or stated outcomes, and no Next.js.",A+B agree,agreed,,,
pb-34165248,jdp-005,1,"Observational and QA-oriented: design-review attendance, component-library changelog upkeep, and manual testing against a checklist. No UI implementation evidence.","A=1, B=0; adjudicated (sided with A)",adjudicated,"PROJECT_RUBRIC.md §2 tier 1: domain/technology present but involvement is administrative/peripheral/observational -- the tier-1 examples ('attended reviews', 'updated documentation') match these bullets almost verbatim. Frontend domain present (design reviews, component-library changelog) but involvement is documentation upkeep and manual QA against a checklist.",0,"No projects listed, so there is no project evidence to assess.",A+B agree,agreed,,claude-opus-5 (corpus author; see contamination caveat in report),2026-08-26
pb-38fce774,jdp-005,1,"Works alongside the frontend team but on CMS copy updates, forwarding user bug reports and maintaining a style-guide document. No component development and no TypeScript, React, CSS authoring or Next.js work.",A+B agree,agreed,,3,"All four required skills in one project: React and TypeScript component architecture and state management, a self-written CSS design system, and Next.js deployment - matching all three responsibilities. Ownership shown by diagnosing a re-render bottleneck on the transactions list and fixing it with memoisation, with a measured 900ms to 120ms improvement.",A+B agree,agreed,,,
pb-4a223859,jdp-005,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,3,"All four required skills in one project: React and TypeScript component architecture and state management, a self-written CSS design system, and Next.js deployment - matching all three responsibilities. Ownership shown by diagnosing a re-render bottleneck on the transactions list and fixing it with memoisation, with a measured 900ms to 120ms improvement.",A+B agree,agreed,,,
pb-4fe50a19,jdp-005,3,"40 months in the exact role: owned the design-system component library used by every product team, cut page load 45% via route-level code splitting in Next.js, debugged a memory leak from unremoved event listeners, and led the CSS migration to a token-based system. Direct match on React/CSS/Next.js duties.",A+B agree,agreed,,0,"No projects listed, so there is no project evidence to assess.",A+B agree,agreed,,,
pb-5ed012d0,jdp-005,1,"Works alongside the frontend team but on CMS copy updates, forwarding user bug reports and maintaining a style-guide document. No component development and no TypeScript, React, CSS authoring or Next.js work.",A+B agree,agreed,,3,"Uses TypeScript, React, CSS and Next.js together on a real tool that scans the DOM for accessibility issues. Self-designed detection rules, a debugged contrast false positive on gradient backgrounds, and a measured 9-of-10 detection result on a seeded test set.",A+B agree,agreed,,,
pb-7e66961a,jdp-005,2,Direct professional experience performing the target role.,"A=2, B=3; prior adjudication sided with B (=3), SUPERSEDED by rubric precedence v1.1 -> 2 (agrees with pass A)",resolved_by_rubric_precedence_v1.1,"SUPERSEDED by rubric precedence ruling v1.1: §2's substantive tier governs §4's strength-signal shortcut; supervised/team-reviewed internship work with limited ownership scores 2. Prior reasoning retained below for provenance. PROJECT_RUBRIC.md §4 strength-signal rule: >=2 distinct strength-signal categories + direct alignment to a specific JD responsibility -> 3. Implementation (reusable React/TypeScript form-validation component adopted across two pages), concrete debugging (CSS nav-bar overlap on narrow screens), evaluation (unit tests); matches 'build UI components in React and TypeScript' and the CSS responsibility. Same §2/§4 tension noted.",0,"No projects listed, so there is no project evidence to assess.",A+B agree,agreed,,claude-opus-5 (corpus author; see contamination caveat in report),2026-08-26
pb-82154d3b,jdp-005,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,1,"Official React tutorial followed to build a basic to-do app; correct stack, no independent design, debugging or outcome.",A+B agree,agreed,,,
pb-874a5278,jdp-005,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,1,"Relevant stack (Next.js, CSS) but described only as a personal website, with no role, no indication of complexity and no outcome.",A+B agree,agreed,,,
pb-a5e4ecc3,jdp-005,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,2,"Substantive frontend work - routing, state management, a custom CSS design system, a stale-data bug traced to an incorrect cache-invalidation rule, and pilot adoption by two internal teams - but built in Vue. Only CSS overlaps the required stack; React, TypeScript and Next.js are untested.",A+B agree,agreed,,,
pb-08df8a00,jdp-006,1,"Release-adjacent rather than engineering: store listing screenshots and copy, beta-tester recruitment, and forwarding crash reports to the Android team. Crash reports are passed on, not diagnosed; no Kotlin or Gradle work.",A+B agree,agreed,,3,"Kotlin Android app that parses Gradle build logs and surfaces failure trends, with self-designed parsing logic, a debugged false-alarm class caused by flaky test retries counting as failures, and a measured 4-of-5 regression detection. Sits directly on the JD's Gradle-maintenance and stability responsibilities.","A=3, B=2; adjudicated (sided with A)",adjudicated,"PROJECT_RUBRIC.md §4 strength-signal rule: >=2 distinct strength-signal categories + direct alignment to a specific JD responsibility -> 3. Four strength-signal categories (implementation, self-designed parsing logic = architecture, concrete debugging of flaky-retry false alarms, 4-of-5 regressions surfaced = measurable outcome) and it IS an Android app in Kotlin, directly matching the 'build Android features in Kotlin' responsibility on 3 of 4 required technologies. §4 requires alignment to *a* specific JD responsibility, not all of them.",claude-opus-5 (corpus author; see contamination caveat in report),2026-08-26
pb-32d1bed7,jdp-006,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,0,"Correct stack (Kotlin, Android) but a one-line 'personal Android project' with no role, no detail and no outcome.","A=1, B=2; adjudicated (sided with NEITHER)",adjudicated,PROJECT_RUBRIC.md §3 tier 0 + §4 'title-only': technology appears only in the title/tag list and the description carries no substantive account of what was built or done -> 0. Description is exactly 'Personal Android project' with no role and no outcome; kotlin/android appear only in the title and tag list. A scored 1 and B scored 2; both exceed what the frozen rubric allows for title-only evidence.,claude-opus-5 (corpus author; see contamination caveat in report),2026-08-26
pb-3d15d7ea,jdp-006,1,"Release-adjacent rather than engineering: store listing screenshots and copy, beta-tester recruitment, and forwarding crash reports to the Android team. Crash reports are passed on, not diagnosed; no Kotlin or Gradle work.",A+B agree,agreed,,3,"Kotlin Android app built solo including the local database schema and notification scheduling, with a crash on resume traced to a lifecycle-callback ordering bug, Gradle flavours configured for debug/release and a signed release APK published. Covers Kotlin, Android and Gradle plus the stability duty, with a measured crash-rate drop from 3% to under 0.1%.",A+B agree,agreed,,,
pb-69ea089c,jdp-006,2,Direct professional experience performing the target role.,"A=2, B=3; prior adjudication sided with B (=3), SUPERSEDED by rubric precedence v1.1 -> 2 (agrees with pass A)",resolved_by_rubric_precedence_v1.1,"SUPERSEDED by rubric precedence ruling v1.1: §2's substantive tier governs §4's strength-signal shortcut; supervised/team-reviewed internship work with limited ownership scores 2. Prior reasoning retained below for provenance. PROJECT_RUBRIC.md §4 strength-signal rule: >=2 distinct strength-signal categories + direct alignment to a specific JD responsibility -> 3. Implementation (settings screen in Kotlin, merged), concrete debugging (Gradle dependency conflict breaking the debug build), evaluation (instrumented tests); touches all three JD responsibilities. Same §2/§4 tension noted.",0,"No projects listed, so there is no project evidence to assess.",A+B agree,agreed,,claude-opus-5 (corpus author; see contamination caveat in report),2026-08-26
pb-7db0de53,jdp-006,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,3,"Kotlin Android app built solo including the local database schema and notification scheduling, with a crash on resume traced to a lifecycle-callback ordering bug, Gradle flavours configured for debug/release and a signed release APK published. Covers Kotlin, Android and Gradle plus the stability duty, with a measured crash-rate drop from 3% to under 0.1%.",A+B agree,agreed,,,
pb-9137df45,jdp-006,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,1,"Well-evidenced mobile work: self-designed state management, an offline-then-online sync bug duplicating items diagnosed and fixed, and two months of real daily use by testers. But it is entirely Flutter/Dart - no Kotlin, no native Android, no Gradle, so none of the required skills are demonstrated.",A+B agree,agreed,,,
pb-adf36141,jdp-006,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,2,"Two self-built Kotlin/Android projects - a Room-backed expense splitter and a small Gradle plugin automating version bumps - covering three of four required skills, with the plugin showing genuine build-system curiosity. Neither entry gives a debugging narrative or a stated outcome.",A+B agree,agreed,,,
pb-b9eb6d4f,jdp-006,1,"Release-process exposure and manual testing only - planning meetings, release-notes upkeep, checklist testing of builds. No Kotlin or Gradle work evidenced.","A=1, B=0; adjudicated (sided with A)",adjudicated,"PROJECT_RUBRIC.md §2 tier 1: domain/technology present but involvement is administrative/peripheral/observational -- the tier-1 examples ('attended reviews', 'updated documentation') match these bullets almost verbatim. Mobile domain present (release planning, release notes, testing new builds) but all duties are administrative/manual-QA.",0,"No projects listed, so there is no project evidence to assess.",A+B agree,agreed,,claude-opus-5 (corpus author; see contamination caveat in report),2026-08-26
pb-cc528484,jdp-006,3,"40 months in the exact role: owned Gradle build performance and modularisation, cut cold-start time 40% by deferring non-critical initialisation, traced a rare ANR affecting 0.5% of sessions to a main-thread disk read, and led the Jetpack Compose migration. Covers Kotlin, Android, Gradle and the stability duty with clear ownership.",A+B agree,agreed,,0,"No projects listed, so there is no project evidence to assess.",A+B agree,agreed,,,
pb-e7af1c40,jdp-006,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,1,"Official Android tutorial followed in Kotlin; right stack, but no independent contribution, debugging or outcome.",A+B agree,agreed,,,
