jd_id,jd_title,jd_seniority,jd_required_skills,jd_preferred_skills,jd_experience_requirement,jd_education_requirement,jd_responsibilities,candidate_blind_id,candidate_skills,candidate_education,candidate_experience,candidate_employment_history,candidate_projects,employment_relevance,employment_evidence_note,project_relevance,project_evidence_note
jdp-007,Security Engineer,3,python; linux; docker; aws,(none),24 months minimum,level 3 (required),Review Linux and Docker configurations for security issues. | Write Python automation for security tooling. | Support vulnerability tracking.,pb-4c280c2a,python; linux; docker; aws,BSc (Computer Science),"11 months total, seniority level 2","[Compliance Assistant, 11 months] Filed audit evidence into the compliance system. / Forwarded scanner alerts to the security team. / Updated the security policy document template.","Title: Access Log Anomaly Dashboard | Technologies: python, linux, docker | Role: solo | Description: Built a Python tool that parses Linux access logs and visualises anomalies on a dashboard, run inside a Docker container. Designed the anomaly-detection rules myself and debugged a false-alarm issue caused by timezone mismatches between log sources. | Outcome: Flagged 3 of 3 seeded anomalies correctly in a grading scenario with zero false positives.",,,,
jdp-005,Frontend Engineer,3,typescript; react; css; next.js,(none),24 months minimum,level 3 (required),Build UI components in React and TypeScript. | Write CSS to a shared design standard. | Support the Next.js application build.,pb-1ee3bace,typescript; react; css; next.js,BSc (Statistics),"0 months total, no professional seniority established",(no employment history),"Title: Recipe Finder | Technologies: react, typescript | Role: solo | Description: Built a React app that searches a public recipe API and displays results, with basic TypeScript typing throughout. | Outcome: (no stated outcome) || Title: Styled Component Library | Technologies: react, css | Role: solo | Description: Built a small reusable component library in React with a consistent CSS design token system. | Outcome: (no stated outcome)",,,,
jdp-003,ML Engineer,3,python; pytorch; fastapi; docker,(none),24 months minimum,level 3 (required),Train and evaluate PyTorch models. | Serve models behind FastAPI endpoints. | Package services with Docker for deployment.,pb-442fdb32,python; pytorch; fastapi; docker,BSc (Software Engineering),"10 months total, seniority level 2","[Junior Data Assistant, 10 months] Labelled training images as part of a data-collection effort. / Forwarded model-monitoring alerts to the on-call engineer. / Updated the model documentation wiki.","Title: Model Drift Monitor | Technologies: python, pytorch, fastapi | Role: solo | Description: Built a monitoring tool that compares live prediction distributions against a training baseline and flags drift, exposed via a FastAPI dashboard. Designed the statistical test myself and debugged a false-positive spike caused by a seasonal shift in input data. Ran it against a PyTorch model I trained for the project. | Outcome: Correctly flagged 2 of 2 seeded drift scenarios in a grading rubric, with 1 false positive out of 20 clean runs.",,,,
jdp-001,"Backend Engineer, Payments",3,python; fastapi; postgresql; docker,(none),24 months minimum,level 3 (required),Build and maintain payment processing APIs. | Work with PostgreSQL to model transaction data. | Support deployment of backend services via Docker.,pb-d36f2efd,python; fastapi; postgresql; docker,BSc (Software Engineering),"12 months total, seniority level 2","[Junior Support Engineer, 12 months] Logged customer-reported payment issues into the tracking system. / Coordinated with the backend team on ticket triage. / Updated the FAQ documentation for common payment errors.","Title: Payment Reconciliation Engine | Technologies: python, fastapi, postgresql, docker | Role: solo | Description: Designed and built a solo project reconciling mock bank statements against an internal ledger. Implemented the matching algorithm in Python with a FastAPI endpoint and a PostgreSQL schema for the ledger. Debugged a rounding-error bug that caused false mismatches on about 2% of transactions, and fixed it by moving all amounts to integer cents. Deployed the service in a Docker container and load-tested it to 200 requests/second. | Outcome: Handled 10,000 synthetic transactions with zero false mismatches after the fix.",,,,
jdp-006,Android Engineer,3,kotlin; android; gradle; git,(none),24 months minimum,level 3 (required),Build Android features in Kotlin. | Maintain the Gradle build. | Fix defects and improve app stability.,pb-3d15d7ea,kotlin; android; gradle; git,BSc (Statistics),"11 months total, seniority level 2","[App Store Assistant, 11 months] Updated app store listing screenshots and copy. / Coordinated beta-tester recruitment. / Forwarded crash reports to the Android team.","Title: Habit Tracker App | Technologies: kotlin, android, gradle | Role: solo | Description: Designed and built a habit-tracking Android app in Kotlin, including the local database schema and notification scheduling. Debugged a crash on app resume caused by a lifecycle-callback ordering bug. Set up the Gradle build with flavors for debug/release and published a signed release APK. | Outcome: Reduced crash rate from 3% to under 0.1% of sessions after the fix, measured via local crash logging.",,,,
jdp-003,ML Engineer,3,python; pytorch; fastapi; docker,(none),24 months minimum,level 3 (required),Train and evaluate PyTorch models. | Serve models behind FastAPI endpoints. | Package services with Docker for deployment.,pb-79a0550f,python; pytorch; fastapi; docker,BSc (Statistics),"0 months total, no professional seniority established",(no employment history),"Title: Image Tagging Service | Technologies: python, pytorch, fastapi, docker | Role: solo | Description: Trained a PyTorch classifier on a public image dataset and served it behind a FastAPI endpoint. Designed the inference batching logic myself and debugged a memory leak caused by not releasing GPU tensors between requests. Packaged the service with Docker and benchmarked latency under load. | Outcome: Reduced average inference latency from 800ms to 140ms after fixing the batching.",,,,
jdp-006,Android Engineer,3,kotlin; android; gradle; git,(none),24 months minimum,level 3 (required),Build Android features in Kotlin. | Maintain the Gradle build. | Fix defects and improve app stability.,pb-7db0de53,kotlin; android; gradle; git,BSc (Electronic Engineering),"0 months total, no professional seniority established",(no employment history),"Title: Habit Tracker App | Technologies: kotlin, android, gradle | Role: solo | Description: Designed and built a habit-tracking Android app in Kotlin, including the local database schema and notification scheduling. Debugged a crash on app resume caused by a lifecycle-callback ordering bug. Set up the Gradle build with flavors for debug/release and published a signed release APK. | Outcome: Reduced crash rate from 3% to under 0.1% of sessions after the fix, measured via local crash logging.",,,,
jdp-007,Security Engineer,3,python; linux; docker; aws,(none),24 months minimum,level 3 (required),Review Linux and Docker configurations for security issues. | Write Python automation for security tooling. | Support vulnerability tracking.,pb-8419e914,python; linux; docker; aws,BSc (Electronic Engineering),"7 months total, seniority level 1","[Security Intern, 8 months] Wrote a Python script that automated a manual log-review task, adopted by the team. / Debugged a false-positive spike in the vulnerability scanner caused by a misconfigured exclusion list. / Reviewed Docker base images for known CVEs and reported findings.",(no projects listed),,,,
jdp-002,Data Engineer,3,python; sql; airflow; spark,(none),24 months minimum,level 3 (required),Build data pipelines using Airflow and Spark. | Write SQL transformations for reporting. | Monitor pipeline reliability and data quality.,pb-c0ae0244,python; sql; airflow; spark,BSc (Mathematics),"0 months total, no professional seniority established",(no employment history),"Title: Sales Pipeline Rebuild | Technologies: python, sql, airflow, spark | Role: solo | Description: Built an Airflow pipeline that ingests daily sales CSVs, transforms them with PySpark, and loads them into a warehouse table. Wrote the SQL transformation logic myself and debugged a partition-skew issue that was causing one task to run 10x longer than the others. Added data-quality checks that fail the DAG if row counts drop unexpectedly. | Outcome: Cut pipeline runtime from 40 minutes to 9 minutes after fixing the skew.",,,,
jdp-001,"Backend Engineer, Payments",3,python; fastapi; postgresql; docker,(none),24 months minimum,level 3 (required),Build and maintain payment processing APIs. | Work with PostgreSQL to model transaction data. | Support deployment of backend services via Docker.,pb-79e07865,python; fastapi; postgresql; docker,BSc (Electronic Engineering),"0 months total, no professional seniority established",(no employment history),"Title: Payment Reconciliation Engine | Technologies: python, fastapi, postgresql, docker | Role: solo | Description: Designed and built a solo project reconciling mock bank statements against an internal ledger. Implemented the matching algorithm in Python with a FastAPI endpoint and a PostgreSQL schema for the ledger. Debugged a rounding-error bug that caused false mismatches on about 2% of transactions, and fixed it by moving all amounts to integer cents. Deployed the service in a Docker container and load-tested it to 200 requests/second. | Outcome: Handled 10,000 synthetic transactions with zero false mismatches after the fix.",,,,
jdp-006,Android Engineer,3,kotlin; android; gradle; git,(none),24 months minimum,level 3 (required),Build Android features in Kotlin. | Maintain the Gradle build. | Fix defects and improve app stability.,pb-b9eb6d4f,kotlin; android; gradle; git,BSc (Software Engineering),"7 months total, seniority level 1","[Intern, 8 months] Attended the mobile team's release planning meetings. / Updated the app's release-notes document. / Manually tested new builds against a checklist.",(no projects listed),,,,
jdp-008,Computer Vision Engineer,3,python; opencv; pytorch; linux,(none),24 months minimum,level 3 (required),Build vision pipelines using OpenCV and PyTorch. | Deploy models to Linux devices. | Evaluate detection accuracy.,pb-3668a2aa,python; opencv; pytorch; linux,BSc (Computer Science),"0 months total, no professional seniority established",(no employment history),"Title: Point Cloud Object Detector | Technologies: cpp | Role: solo | Description: Designed and built a lidar point-cloud object-detection prototype in C++ using a public library, including the clustering logic. Debugged a false-positive issue caused by ground-plane points being misclassified as objects. | Outcome: Correctly detected 88% of labelled objects in a public benchmark point-cloud dataset.",,,,
jdp-005,Frontend Engineer,3,typescript; react; css; next.js,(none),24 months minimum,level 3 (required),Build UI components in React and TypeScript. | Write CSS to a shared design standard. | Support the Next.js application build.,pb-4fe50a19,typescript; react; css; next.js,BSc (Mathematics),"40 months total, seniority level 4","[Frontend Engineer, 40 months] Owned the design-system component library used by every product team. / Cut page load time by 45% by introducing route-level code splitting in Next.js. / Debugged a memory leak in a long-lived dashboard page caused by unremoved event listeners. / Led the migration of the CSS architecture to a token-based system.",(no projects listed),,,,
jdp-006,Android Engineer,3,kotlin; android; gradle; git,(none),24 months minimum,level 3 (required),Build Android features in Kotlin. | Maintain the Gradle build. | Fix defects and improve app stability.,pb-adf36141,kotlin; android; gradle; git,BSc (Physics),"0 months total, no professional seniority established",(no employment history),"Title: Expense Splitter | Technologies: kotlin, android | Role: solo | Description: Built a small Android app in Kotlin that splits shared expenses between friends, with a local Room database. | Outcome: (no stated outcome) || Title: Custom Gradle Plugin | Technologies: gradle, kotlin | Role: solo | Description: Wrote a small Gradle plugin that automates version-bumping for an Android project's build. | Outcome: (no stated outcome)",,,,
jdp-003,ML Engineer,3,python; pytorch; fastapi; docker,(none),24 months minimum,level 3 (required),Train and evaluate PyTorch models. | Serve models behind FastAPI endpoints. | Package services with Docker for deployment.,pb-e35150f9,python; pytorch; fastapi; docker,BSc (Software Engineering),"0 months total, no professional seniority established",(no employment history),"Title: FastAPI Model Server | Technologies: fastapi, docker | Role: (role not stated) | Description: Class assignment. | Outcome: (no stated outcome)",,,,
jdp-002,Data Engineer,3,python; sql; airflow; spark,(none),24 months minimum,level 3 (required),Build data pipelines using Airflow and Spark. | Write SQL transformations for reporting. | Monitor pipeline reliability and data quality.,pb-772fb135,python; sql; airflow; spark,BSc (Computer Science),"11 months total, seniority level 2","[Reporting Assistant, 11 months] Exported spreadsheets for the finance team each week. / Forwarded pipeline failure alerts to the on-call engineer. / Updated the reporting calendar.","Title: Data Quality Dashboard | Technologies: python, sql, airflow | Role: solo | Description: Built a dashboard that runs SQL checks against the warehouse and visualises failures, with an Airflow DAG scheduling the checks hourly. Designed the check logic myself and debugged a false-alarm issue caused by daylight-saving time changes. | Outcome: Reduced undetected data-quality incidents from about 4/month to 0 in a 2-month trial.",,,,
jdp-008,Computer Vision Engineer,3,python; opencv; pytorch; linux,(none),24 months minimum,level 3 (required),Build vision pipelines using OpenCV and PyTorch. | Deploy models to Linux devices. | Evaluate detection accuracy.,pb-35d49229,python; opencv; pytorch; linux,BSc (Computer Science),"0 months total, no professional seniority established",(no employment history),"Title: Face Blur Tool | Technologies: python, opencv | Role: solo | Description: Built a small OpenCV script that detects and blurs faces in images for a privacy-preserving photo tool. | Outcome: (no stated outcome) || Title: Handwritten Digit Classifier | Technologies: pytorch, python | Role: solo | Description: Trained a small PyTorch CNN on a public handwritten-digit dataset and evaluated its accuracy. | Outcome: (no stated outcome)",,,,
jdp-008,Computer Vision Engineer,3,python; opencv; pytorch; linux,(none),24 months minimum,level 3 (required),Build vision pipelines using OpenCV and PyTorch. | Deploy models to Linux devices. | Evaluate detection accuracy.,pb-6cacf0a0,python; opencv; pytorch; linux,BSc (Computer Science),"7 months total, seniority level 1","[Computer Vision Intern, 8 months] Implemented a data-augmentation step for the training pipeline using OpenCV, adopted by the team. / Debugged a bounding-box misalignment bug in the annotation-to-training data conversion. / Ran evaluation scripts and identified a systematic failure mode in low-light images.",(no projects listed),,,,
jdp-007,Security Engineer,3,python; linux; docker; aws,(none),24 months minimum,level 3 (required),Review Linux and Docker configurations for security issues. | Write Python automation for security tooling. | Support vulnerability tracking.,pb-e25fe0a8,python; linux; docker; aws,BSc (Information Systems),"40 months total, seniority level 4","[Security Engineer, 40 months] Owned the vulnerability-management programme. / Cut mean time to patch a critical finding from 30 days to 6 by automating the remediation ticketing. / Led the response to a genuine credential-stuffing incident, tracing it to a leaked third-party password list. / Hardened the Linux and AWS estate against the attack paths a red-team exercise had found.",(no projects listed),,,,
jdp-002,Data Engineer,3,python; sql; airflow; spark,(none),24 months minimum,level 3 (required),Build data pipelines using Airflow and Spark. | Write SQL transformations for reporting. | Monitor pipeline reliability and data quality.,pb-bfdb602d,python; sql; airflow; spark,BSc (Mathematics),"0 months total, no professional seniority established",(no employment history),"Title: Weather Data Pipeline | Technologies: python, airflow, sql | Role: solo | Description: Built a small Airflow DAG that pulls a public weather API daily and loads results into a Postgres table using SQL inserts. | Outcome: (no stated outcome) || Title: Spark Log Aggregator | Technologies: spark, python | Role: solo | Description: Wrote a PySpark job that aggregates a sample web-log dataset into hourly summaries and writes them out as Parquet. | Outcome: (no stated outcome)",,,,
jdp-007,Security Engineer,3,python; linux; docker; aws,(none),24 months minimum,level 3 (required),Review Linux and Docker configurations for security issues. | Write Python automation for security tooling. | Support vulnerability tracking.,pb-7dac0883,python; linux; docker; aws,BSc (Mathematics),"0 months total, no professional seniority established",(no employment history),Title: Linux Hardening Tutorial | Technologies: linux | Role: (role not stated) | Description: Followed an online tutorial to apply basic Linux hardening steps to a personal server. | Outcome: (no stated outcome),,,,
jdp-004,Cloud Infrastructure Engineer,3,aws; terraform; kubernetes; docker,(none),24 months minimum,level 3 (required),Provision AWS infrastructure using Terraform. | Operate Kubernetes workloads. | Support Docker-based deployments.,pb-30c37ab4,aws; terraform; kubernetes; docker,BSc (Statistics),"40 months total, seniority level 4","[Cloud Infrastructure Engineer, 40 months] Owned the Terraform modules for the team's AWS estate. / Redesigned the Kubernetes namespace structure, cutting cross-team resource contention incidents to zero. / Debugged an intermittent networking issue between pods that had been open for months, tracing it to a misconfigured CNI plugin. / Led the migration of legacy services into Docker containers.",(no projects listed),,,,
jdp-007,Security Engineer,3,python; linux; docker; aws,(none),24 months minimum,level 3 (required),Review Linux and Docker configurations for security issues. | Write Python automation for security tooling. | Support vulnerability tracking.,pb-3dafa86d,python; linux; docker; aws,BSc (Physics),"0 months total, no professional seniority established",(no employment history),"Title: Network Traffic Classifier | Technologies: go | Role: solo | Description: Designed and built a tool in Go that captures and classifies network traffic patterns for anomaly detection, including the packet-parsing logic. Debugged a misclassification issue caused by fragmented packets. | Outcome: Correctly classified 92% of traffic in a labelled test capture.",,,,
jdp-004,Cloud Infrastructure Engineer,3,aws; terraform; kubernetes; docker,(none),24 months minimum,level 3 (required),Provision AWS infrastructure using Terraform. | Operate Kubernetes workloads. | Support Docker-based deployments.,pb-7b1cc0df,aws; terraform; kubernetes; docker,BSc (Physics),"0 months total, no professional seniority established",(no employment history),"Title: Personal Cloud Lab | Technologies: aws, terraform, kubernetes, docker | Role: solo | Description: Designed and provisioned a small multi-service AWS environment using Terraform, including a Kubernetes cluster. Debugged an IAM permissions issue that was blocking pod-level access to S3, and fixed it with a scoped policy. Deployed a sample app to the cluster in Docker containers and documented the teardown process to avoid runaway cost. | Outcome: Kept the whole environment running under $15 in AWS credits across a 3-week build.",,,,
jdp-003,ML Engineer,3,python; pytorch; fastapi; docker,(none),24 months minimum,level 3 (required),Train and evaluate PyTorch models. | Serve models behind FastAPI endpoints. | Package services with Docker for deployment.,pb-6b0449f8,python; pytorch; fastapi; docker,BSc (Computer Science),"44 months total, seniority level 4","[ML Engineer, 44 months] Owned the training and evaluation pipeline for the ranking model. / Cut inference cost by 35% by quantising the production model. / Debugged a production drift issue that had silently degraded recommendation quality for two weeks. / Deployed the serving stack via Docker and set up automated rollback on error-rate regression.",(no projects listed),,,,
jdp-006,Android Engineer,3,kotlin; android; gradle; git,(none),24 months minimum,level 3 (required),Build Android features in Kotlin. | Maintain the Gradle build. | Fix defects and improve app stability.,pb-9137df45,kotlin; android; gradle; git,BSc (Mathematics),"0 months total, no professional seniority established",(no employment history),"Title: Cross-Platform Grocery List App | Technologies: flutter, dart | Role: solo | Description: Designed and built a grocery-list app in Flutter with local persistence, including the state management. Debugged a sync bug that duplicated items when the app resumed offline-then-online. | Outcome: App used daily by 3 friends during a 2-month trial with no reported data loss after the fix.",,,,
jdp-006,Android Engineer,3,kotlin; android; gradle; git,(none),24 months minimum,level 3 (required),Build Android features in Kotlin. | Maintain the Gradle build. | Fix defects and improve app stability.,pb-32d1bed7,kotlin; android; gradle; git,BSc (Mathematics),"0 months total, no professional seniority established",(no employment history),"Title: Kotlin Weather App | Technologies: kotlin, android | Role: (role not stated) | Description: Personal Android project. | Outcome: (no stated outcome)",,,,
jdp-002,Data Engineer,3,python; sql; airflow; spark,(none),24 months minimum,level 3 (required),Build data pipelines using Airflow and Spark. | Write SQL transformations for reporting. | Monitor pipeline reliability and data quality.,pb-a2e40941,python; sql; airflow; spark,BSc (Information Systems),"7 months total, seniority level 1","[Data Engineering Intern, 8 months] Wrote SQL transformations for a new reporting table, reviewed and merged into production. / Fixed a failing Airflow task caused by a schema change in an upstream source. / Added a data-quality check that caught a duplicate-row bug before it reached the dashboard.",(no projects listed),,,,
jdp-002,Data Engineer,3,python; sql; airflow; spark,(none),24 months minimum,level 3 (required),Build data pipelines using Airflow and Spark. | Write SQL transformations for reporting. | Monitor pipeline reliability and data quality.,pb-c03b258d,python; sql; airflow; spark,BSc (Electronic Engineering),"0 months total, no professional seniority established",(no employment history),"Title: Spark Data Pipeline | Technologies: spark, sql | Role: (role not stated) | Description: Coursework project. | Outcome: (no stated outcome)",,,,
jdp-006,Android Engineer,3,kotlin; android; gradle; git,(none),24 months minimum,level 3 (required),Build Android features in Kotlin. | Maintain the Gradle build. | Fix defects and improve app stability.,pb-69ea089c,kotlin; android; gradle; git,BSc (Software Engineering),"7 months total, seniority level 1","[Android Intern, 8 months] Implemented a settings screen in Kotlin, reviewed and merged into the app. / Fixed a Gradle dependency conflict that was breaking the debug build. / Wrote instrumented tests for a login-flow screen.",(no projects listed),,,,
jdp-005,Frontend Engineer,3,typescript; react; css; next.js,(none),24 months minimum,level 3 (required),Build UI components in React and TypeScript. | Write CSS to a shared design standard. | Support the Next.js application build.,pb-5ed012d0,typescript; react; css; next.js,BSc (Physics),"11 months total, seniority level 2","[Content Assistant, 11 months] Updated marketing copy through the CMS. / Forwarded bug reports from users to the frontend team. / Maintained the style guide document.","Title: Accessibility Audit Tool | Technologies: typescript, react, css, next.js | Role: solo | Description: Built a tool in React and TypeScript that scans a page's DOM and flags accessibility issues, styled with CSS and deployed via Next.js. Designed the detection rules myself and debugged a false-positive issue with contrast checks on gradient backgrounds. | Outcome: Correctly flagged 9 of 10 seeded accessibility issues in a grading test set.",,,,
jdp-008,Computer Vision Engineer,3,python; opencv; pytorch; linux,(none),24 months minimum,level 3 (required),Build vision pipelines using OpenCV and PyTorch. | Deploy models to Linux devices. | Evaluate detection accuracy.,pb-f9a88c17,python; opencv; pytorch; linux,BSc (Software Engineering),"7 months total, seniority level 1","[Intern, 8 months] Attended the perception team's model-review meetings. / Labelled a batch of training images as part of a data-collection effort. / Organised the annotation-tooling documentation.",(no projects listed),,,,
jdp-001,"Backend Engineer, Payments",3,python; fastapi; postgresql; docker,(none),24 months minimum,level 3 (required),Build and maintain payment processing APIs. | Work with PostgreSQL to model transaction data. | Support deployment of backend services via Docker.,pb-9907e773,python; fastapi; postgresql; docker,BSc (Information Systems),"7 months total, seniority level 1","[Software Engineering Intern, 7 months] Implemented a validation layer for incoming transaction requests using FastAPI. / Wrote PostgreSQL migration scripts for a new refund-tracking table, reviewed and merged by the team. / Fixed a bug where concurrent refund requests could double-credit an account, verified with a regression test.",(no projects listed),,,,
jdp-004,Cloud Infrastructure Engineer,3,aws; terraform; kubernetes; docker,(none),24 months minimum,level 3 (required),Provision AWS infrastructure using Terraform. | Operate Kubernetes workloads. | Support Docker-based deployments.,pb-5c568d25,aws; terraform; kubernetes; docker,BSc (Mathematics),"12 months total, seniority level 2","[IT Support Assistant, 12 months] Reset AWS console passwords for staff. / Maintained the asset inventory spreadsheet. / Escalated infrastructure tickets to the platform team.","Title: Personal Cloud Lab | Technologies: aws, terraform, kubernetes, docker | Role: solo | Description: Designed and provisioned a small multi-service AWS environment using Terraform, including a Kubernetes cluster. Debugged an IAM permissions issue that was blocking pod-level access to S3, and fixed it with a scoped policy. Deployed a sample app to the cluster in Docker containers and documented the teardown process to avoid runaway cost. | Outcome: Kept the whole environment running under $15 in AWS credits across a 3-week build.",,,,
jdp-001,"Backend Engineer, Payments",3,python; fastapi; postgresql; docker,(none),24 months minimum,level 3 (required),Build and maintain payment processing APIs. | Work with PostgreSQL to model transaction data. | Support deployment of backend services via Docker.,pb-f8c512e0,python; fastapi; postgresql; docker,BSc (Software Engineering),"12 months total, seniority level 2","[Junior Support Engineer, 12 months] Logged customer-reported payment issues into the tracking system. / Coordinated with the backend team on ticket triage. / Updated the FAQ documentation for common payment errors.","Title: Ledger Consistency Checker | Technologies: python, fastapi, postgresql, docker | Role: solo | Description: Built a tool that scans a PostgreSQL ledger for consistency violations and flags them via a FastAPI report endpoint. Designed the detection rules myself and debugged several false-positive cases caused by timezone handling. Containerised it with Docker for a course demo. | Outcome: Caught 3 real seeded consistency bugs in the test dataset during grading.",,,,
