candidate_blind_id,employment_relevance,employment_evidence_note,project_relevance,project_evidence_note
pb-eeb59fd4,0,No meaningful employment evidence for the target role.,3,Strong direct project evidence: core required technologies and responsibilities are demonstrated with substantive implementation/debugging.
pb-79aa7cb9,1,Adjacent/transferable work but not the target engineering role.,3,Strong direct project evidence: core required technologies and responsibilities are demonstrated with substantive implementation/debugging.
pb-38fce774,1,Adjacent/transferable work but not the target engineering role.,3,Strong direct project evidence: core required technologies and responsibilities are demonstrated with substantive implementation/debugging.
pb-bba68dab,0,No meaningful employment evidence for the target role.,1,"Weak/partial evidence: adjacent technology, tutorial/coursework, or only a small subset of the required work."
pb-ea602c7c,3,Direct professional experience performing the target role.,0,No project evidence.
pb-f8a02c37,1,Adjacent/transferable work but not the target engineering role.,0,No project evidence.
pb-25ac870c,0,No meaningful employment evidence for the target role.,2,"Meaningful project evidence with several relevant technologies or tasks, but incomplete coverage of the JD."
pb-92a05945,0,No meaningful employment evidence for the target role.,3,Strong direct project evidence: core required technologies and responsibilities are demonstrated with substantive implementation/debugging.
pb-274312c9,0,No meaningful employment evidence for the target role.,0,No project evidence.
pb-a5e4ecc3,0,No meaningful employment evidence for the target role.,2,"Meaningful project evidence with several relevant technologies or tasks, but incomplete coverage of the JD."
pb-82154d3b,0,No meaningful employment evidence for the target role.,1,"Weak/partial evidence: adjacent technology, tutorial/coursework, or only a small subset of the required work."
pb-7e66961a,3,Direct professional experience performing the target role.,0,No project evidence.
pb-7aa49001,0,No meaningful employment evidence for the target role.,1,"Weak/partial evidence: adjacent technology, tutorial/coursework, or only a small subset of the required work."
pb-dca0ee74,1,Adjacent/transferable work but not the target engineering role.,0,No project evidence.
pb-cbea5dc1,0,No meaningful employment evidence for the target role.,2,"Meaningful project evidence with several relevant technologies or tasks, but incomplete coverage of the JD."
pb-e7af1c40,0,No meaningful employment evidence for the target role.,1,"Weak/partial evidence: adjacent technology, tutorial/coursework, or only a small subset of the required work."
pb-f908ceaa,0,No meaningful employment evidence for the target role.,1,"Weak/partial evidence: adjacent technology, tutorial/coursework, or only a small subset of the required work."
pb-61053329,0,No meaningful employment evidence for the target role.,2,"Meaningful project evidence with several relevant technologies or tasks, but incomplete coverage of the JD."
pb-4a223859,0,No meaningful employment evidence for the target role.,3,Strong direct project evidence: core required technologies and responsibilities are demonstrated with substantive implementation/debugging.
pb-2a5a14fd,0,No meaningful employment evidence for the target role.,2,"Meaningful project evidence with several relevant technologies or tasks, but incomplete coverage of the JD."
pb-a10b9b7b,0,No meaningful employment evidence for the target role.,1,"Weak/partial evidence: adjacent technology, tutorial/coursework, or only a small subset of the required work."
pb-874a5278,0,No meaningful employment evidence for the target role.,1,"Weak/partial evidence: adjacent technology, tutorial/coursework, or only a small subset of the required work."
pb-cd03a930,3,Direct professional experience performing the target role.,0,No project evidence.
pb-116b4f53,3,Direct professional experience performing the target role.,0,No project evidence.
pb-bd38aad2,0,No meaningful employment evidence for the target role.,1,"Weak/partial evidence: adjacent technology, tutorial/coursework, or only a small subset of the required work."
pb-cd1a7447,3,Direct professional experience performing the target role.,0,No project evidence.
pb-08df8a00,1,Adjacent/transferable work but not the target engineering role.,2,"Meaningful project evidence with several relevant technologies or tasks, but incomplete coverage of the JD."
pb-34165248,0,No meaningful employment evidence for the target role.,0,No project evidence.
pb-7dc7c774,0,No meaningful employment evidence for the target role.,0,No project evidence.
pb-05fa20d2,1,Adjacent/transferable work but not the target engineering role.,3,Strong direct project evidence: core required technologies and responsibilities are demonstrated with substantive implementation/debugging.
pb-21380e31,0,No meaningful employment evidence for the target role.,1,"Weak/partial evidence: adjacent technology, tutorial/coursework, or only a small subset of the required work."
